epoch 6200:     loss = 1246.0722873489879       w = 12.87581266151894   b = 147.9305728100992
epoch 6300:     loss = 1245.4109465243203       w = 12.867722322833666  b = 148.20017200260202
epoch 6400:     loss = 1244.8184243521516       w = 12.860064481924686  b = 148.45535881315362
epoch 6500:     loss = 1244.287559612799        w = 12.852816018087932  b = 148.69690370679723
epoch 6600:     loss = 1243.8119362779662       w = 12.845955046618663  b = 148.92553596063206
epoch 6700:     loss = 1243.38580596667         w = 12.839460852736718  b = 149.1419458656607
epoch 6800:     loss = 1243.0040184703314       w = 12.833313829044052  b = 149.34678681092973
epoch 6900:     loss = 1242.6619595073896       w = 12.8274954163257    b = 149.5406772562546
epoch 7000:     loss = 1242.3554949551165       w = 12.82198804751541   b = 149.72420259948558
epoch 7100:     loss = 1242.0809208846329       w = 12.816775094656824  b = 149.8979169439528
epoch 7200:     loss = 1241.8349187952488       w = 12.81184081870003   b = 150.0623447714255
epoch 7300:     loss = 1241.6145155070749       w = 12.8071703219819    b = 150.21798252563818
epoch 7400:     loss = 1241.4170472271949       w = 12.802749503246766  b = 150.36530011116318
epoch 7500:     loss = 1241.240127355073        w = 12.798565015071668  b = 150.50474231215503
epoch 7600:     loss = 1241.0816176381181       w = 12.794604223567504  b = 150.636730135253
epoch 7700:     loss = 1240.9396023287698       w = 12.790855170234574  b = 150.7616620806915
epoch 7800:     loss = 1240.8123650307869       w = 12.787306535857237  b = 150.87991534546023
epoch 7900:     loss = 1240.6983679548928       w = 12.783947606328706  b = 150.9918469621446
epoch 8000:     loss = 1240.5962333330601       w = 12.780768240302804  b = 151.09779487688579
epoch 8100:     loss = 1240.5047267668172       w = 12.777758838575025  b = 151.19807896971395
epoch 8200:     loss = 1240.422742308312        w = 12.774910315100408  b = 151.29300202033727
epoch 8300:     loss = 1240.3492890938332       w = 12.772214069560803  b = 151.3828506222989
epoch 8400:     loss = 1240.2834793682387       w = 12.76966196139857   b = 151.46789604826728
epoch 8500:     loss = 1240.2245177555512       w = 12.767246285238503  b = 151.5483950690669
epoch 8600:     loss = 1240.1716916460455       w = 12.764959747623573  b = 151.62459072892662
epoch 8700:     loss = 1240.124362583656        w = 12.762795444994383  b = 151.69671307928314
epoch 8800:     loss = 1240.0819585495974       w = 12.760746842845823  b = 151.76497987335648
epoch 8900:     loss = 1240.0439670489486       w = 12.758807755997951  b = 151.82959722359564
epoch 9000:     loss = 1240.0099289166444       w = 12.756972329921568  b = 151.89076022397686
epoch 9100:     loss = 1239.9794327680065       w = 12.755235023062125  b = 151.94865353903523
epoch 9200:     loss = 1239.9521100267518       w = 12.75359059010854   b = 152.00345196140762
epoch 9300:     loss = 1239.9276304703808       w = 12.752034066156464  b = 152.0553209395698
epoch 9400:     loss = 1239.9056982391105       w = 12.750560751718135  b = 152.1044170773619
epoch 9500:     loss = 1239.8860482601167       w = 12.749166198533583  b = 152.15088860680993
epoch 9600:     loss = 1239.868443043862        w = 12.747846196140372  b = 152.19487583567073
epoch 9700:     loss = 1239.8526698138005       w = 12.746596759161298  b = 152.23651157105175
epoch 9800:     loss = 1239.838537934761        w = 12.745414115271616  b = 152.2759215203851
epoch 9900:     loss = 1239.8258766089305       w = 12.744294693809614  b = 152.31322467096587
epoch 10000:    loss = 1239.8145328115975       w = 12.743235114995965  b = 152.34853364920087
